"IdNum","Title","Description","DescComment","SubjectTop","DonorNotes","WherMade","Color","Material","ItemCondition","ConditionNts","Fragility","Functional","Power","ToC","IsPart","IsVer","HasPart","HasVer","Creator","Publisher","Contributor","AddlAuth","Created","Copyrighted","DateCR","Available","Medium","Type","Format","ItemType","Dimensions","Extent","MediaType","Moves","Resolution","Software","StillImage","MovingImage","Weight","Identifier","ModelNum","SerialNum","PartNum","SeriesNum","OtherNum","ToDo","Location","LocNotes","Interim","Box","Loc","ToGo","AddCom","CatBy","EditBy","AltTitle","BibCit","SubKes","Description1","Source","Relation","ConformsTo","Coverage","RightsMGMT","Format1","BitDepth","Resolution1","NatlLang","ProgLang","PropDisp","DateScan","ProcInit","FormatBP","URI","ThumbNailURI","AbIint","IntInit","InstrMeth","Audience","AudLev","Mediator","ItemReferences","IsReferencedBy","Replaces","ReplacedBy","Requires","RequiredBy","AccessRights","RightsHolder","License","Provenance","Spacial","Temporal","AccrualComments","AccrualMethod","AccrualPeriodicity","AccPol","Collection","Wiki","Blog","TravelingExhibit","SocialMedia","SmallThumbURI","History6","History7","History8","History9"
"1001","Computing Activities in Secondary Education","Final Report of research funded by National Science Foundation Grant (EC-43944)",,,,"USA/Washington, DC","28","papr","g","note on cover in Liza Loop's handwriting ""Major findings p. viii""","d",,,"Executive Summary; Introduction; Research Design; General Research Results; Specific Research Findings; Summary and Conclusions; References; Appendices","0","0","2602","0","Bukoski, W.J., Korotkin A.L.","American Institutes for Research","LO*OP Center, Inc.",NULL,"09/01/1975","n","0000-00-00",,"rr","0",,"0",,,"7",,,"0","n","n","0",,,,,,,"1","lg","As of March 2016, item is at LO*OP, scanned copy is available through ERIC.","b6","0-0","0",,,,,"Final Report","0","0",,"0","0",,,,"0",,,"0","0","0","03/19/2016",,,"http://www.loopcntr.net/repository/1001.jpg","http://www.loopcntr.net/repository/1001.jpg",,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"1700","""test1"", ""test2""",,,,"http://www.loopcntr.net/repository/thumbs/t1001.jpg",,,,
"1620","Hunt the Wumpus Instructions (partial)","printout copy of Wumpus instructions","appears to be copy of thermal printout, gray and spotted",,NULL,,"6","papr","f",,"f",,,,NULL,NULL,NULL,NULL,"Greg Yob",,,NULL,NULL,NULL,NULL,,"sss",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"b10","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"1050",NULL,NULL,NULL,NULL,NULL,,,,
"1621","How Many Stars - Run & List","Output and listing of simple computer game on teletype paper","Good for 3 to 8 year olds",,NULL,,"28","papr","f",,"vf",,,,NULL,NULL,NULL,NULL,,,,NULL,NULL,"n",NULL,,"0",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"b15","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","1",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"1050",NULL,NULL,NULL,NULL,NULL,,,,
"1622","WFF - Printout of game run and other miscelaneous Basic programs","group of printouts","probably used at LO*OP storefront or Computer Playshop",,NULL,,"28","papr","p",,"f",,,,NULL,NULL,NULL,NULL,,,,NULL,NULL,"n",NULL,,"sss",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"b10","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"0","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"1050",NULL,NULL,NULL,NULL,NULL,,,,
"1623","The Exploratorium vol. 5, issue 2 & 3","contains statements from leading science educators but no mention of computers",,,NULL,,"2","papr","e",,"d",,,,NULL,NULL,NULL,NULL,,"The Exploratorium",,NULL,"1981",NULL,NULL,,"mag",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"b10","0-0",NULL,,,,,"Science Media Conference",NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"1200",NULL,NULL,NULL,NULL,NULL,,,,
"1624","Letter to Jim Warren from Liza Loop","Letter requesting (c) Liza Loop be shown on her article in West Coast Computer Faire Proceedings",,,NULL,,"6","papr","g","carbon copy of original letter on the flip size of spirit master copy of school document: CAREER SKILLS - - HALL PASS, ","d",,,,NULL,NULL,NULL,NULL,"Liza Loop","Liza Loop",,NULL,"1977-08-25",NULL,NULL,,"l",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg","scan both sides","b10","0-0",NULL,,,,,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"2600",NULL,NULL,NULL,NULL,NULL,,,,
"1625","The Book (Proposal Outline)","Thermal paper copy of Handwritten proposal for book to be written by Liza Loop and Stuart Cooney",,,NULL,,"6","tpap","g","mark from rusted staple (removed)","f",,,,NULL,NULL,NULL,NULL,"Stuart Cooney",,,"Liza Loop","1982","n",NULL,,"mS",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg","There may be an original manuscript somewhere, possibly in Cooney's papers","b10","0-0",NULL,,,,,"Wow: Look What New Technology Makes Possible",NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"0","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"2800",NULL,NULL,NULL,NULL,NULL,,,,
"1626","Parent's Guide to Computers in Education","Computer literacy Handbook for parents so that they can help their kids who have computers in school",,,NULL,,"6","papr","vg",,"d",,,,NULL,NULL,NULL,NULL,"David Moursund","International Council for Computers in Education",,NULL,"1983","y","1983",,"bklt",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"b10","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"1950",NULL,NULL,NULL,NULL,NULL,,,,
"1002","Accessory Kit for Apple Modem 300/1200","Box plus nut plate plus manual in shrink-wrap, packing list, large diskette, warranty card, evaluation report, installation pamphlet in plastic bag",,,,,"0","mix","0",,"d",,,,"0","0","0","0",,,"LO*OP Center, Inc.",NULL,,"n",,,"ag","0",,"1","9 x 3 x 1 inches",,"0",,,,"n","n","5",,,,,,,"5","lg",NULL,"0","0-0","0",,,"ll1",,,,"0",,,"0",,,,"0",,,"0","0",NULL,"0000-00-00",,,,NULL,,"0",,,,,"0","0","0","0","0","0","0",,"0",,,,,"0","0",,"2900",,,,,,,,,
"1003","Teletype paper loading instructions","Instructions for use by teachers and students for using teletype as an output device",,,,,"6","papr","f","One metal staple; paper discoloring from age","f",,,,"0","0","0","0","Lawrence Hall of Science",,"LO*OP Center, Inc.",NULL,"0000-00-00","n","0000-00-00",,"sss","0",,"0","8.5","2","1",,,"0","n","n","0",,,,,,,"4","lg",NULL,"b6","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0",,,"1","0","0","0000-00-00",,,"http://www.loopcntr.net/repository/1003.pdf","http://www.loopcntr.net/repository/1003.jpg",,"0",,,,,"0","0","0","0","0","1500","0","0","1",,,,,"0","0",,"2900",,,,,"http://www.loopcntr.net/repository/thumbs/t1003.jpg",,,,
